Name,Rating,Number,Location
The Lighthouse Cafe,4 star rating,(949) 933-1001,1600 W Balboa Blvd
Bosscat Kitchen and Libations,4.5 star rating,(949) 333-0917,4647 MacArthur Blvd
Shorebird,4.5 star rating,(949) 287-6627,2220 Newport Blvd
The Beachcomber,4 star rating,(949) 376-6900,15 Crystal Cv
Mama D's Italian Kitchen,4.5 star rating,(949) 675-6262,3012 Newport Blvd
Sol Grill,4.5 star rating,(949) 287-6797,2400 W Coast Hwy
Dory Deli,4 star rating,(949) 220-7886,2108 3/4 W Oceanfront
Hook & Anchor,4.5 star rating,(949) 423-7169,3305 Newport Blvd
Stacks Pancake House,4 star rating,(949) 264-3677,1330 Bison Ave
Tavern House Kitchen + Bar,4.5 star rating,(949) 673-8464,333 Bayside Dr
Pur Bowls : Acai Bowls,4.5 star rating,(714) 465-9384,9045 Atlanta Ave
Mastro's Ocean Club,4 star rating,(949) 376-6990,8112 E Coast Hwy
Rockin' Baja Lobster Coastal Cantina,4 star rating,(949) 723-0606,2104 W Oceanfront
Moulin,4 star rating,(949) 474-0920,1000 Bristol St N
Cappy's Cafe,4 star rating,(949) 867-1194,5930 W Coast Hwy
Helmsman Ale House,4.5 star rating,(949) 220-9977,2920 Newport Blvd
Bello by Sandro Nardone,4.5 star rating,(949) 520-7191,1200 Bison Ave
A Restaurant,4 star rating,(949) 650-6505,3334 W Coast Hwy
SOL Mexican Cocina,4 star rating,(949) 675-9800,251 E Coast Hwy
Fork and Knife,5 star rating,(949) 877-0330,401 E 17th St
The Dock,4.5 star rating,(949) 673-3625,2816 Lafayette Ave
Gulfstream,4 star rating,(949) 718-0188,850 Avocado Ave
TidePoole's,5 star rating,(949) 270-6547,6310 West Coast Hwy
Great Maple - Newport Beach,4 star rating,(949) 706-8282,"Located in <a href=""/biz/fashion-island-newport-beach-4"">Fashion Island</a>"
Farmhouse at Roger's Gardens,4 star rating,(949) 640-1415,2301 San Joaquin Hills Rd
Malibu Farm Lido,4 star rating,(949) 791-2096,3420 Via Oporto
Playa Mesa,4.5 star rating,(949) 287-5292,428 E 17th St
Eddie V's Prime Seafood,4.5 star rating,(949) 720-9925,1370 Bison Ave
Ai Pono Cafe,4.5 star rating,(949) 402-6877,283 East 17th St
Hanuman Thai Eatery,5 star rating,(657) 699-3123,355 Bristol St
Cafe Sevilla,4.5 star rating,(949) 688-1555,1870 Harbor Blvd
Javier's - Crystal Cove,3.5 star rating,(949) 494-1239,7832 E Pacific Coast Hwy
Oak Grill Newport Beach,4 star rating,(949) 760-4920,690 Newport Center Dr
Wilma's Patio Restaurant,4 star rating,(949) 675-5542,203 Marine Ave
ARC Butcher & Baker,4 star rating,(949) 877-0190,417 30th St
The Stand,4.5 star rating,(949) 873-5332,1332 Bison Ave
Bamboo Bistro,4 star rating,(949) 720-1289,2600 E Coast Hwy
Zinqué ,4 star rating,(949) 612-7259,3446 Via Oporto
Bear Flag Fish,4 star rating,(949) 673-3474,3421 Via Lido
True Food Kitchen,4 star rating,(949) 644-2400,"Located in <a href=""/biz/fashion-island-newport-beach-4"">Fashion Island</a>"
Toast Kitchen & Bakery,4.5 star rating,(949) 873-5057,1767 Newport Blvd
Buddha's Favorite,4 star rating,(949) 723-4203,634 Lido Park Dr
Fable & Spirit,4.5 star rating,(949) 409-9913,3441 Via Lido
Eat Chow,4.5 star rating,(949) 423-7080,211 62nd St
Sessions West Coast Deli,4.5 star rating,(949) 220-9001,2823 Newport Blvd
Habana,4 star rating,(714) 556-0176,"Located in <a href=""/biz/the-lab-anti-mall-costa-mesa"">The LAB Anti-Mall</a>"
Balboa Lily's,4.5 star rating,(949) 873-5455,711 E Balboa Blvd
Red O,4 star rating,(949) 718-0300,"Located in <a href=""/biz/fashion-island-newport-beach-4"">Fashion Island</a>"
Marché  Moderne,4 star rating,(714) 434-7900,7862 Pacific Coast Hwy
R+D Kitchen,4 star rating,(949) 219-0555,555 Newport Ctr Dr
Nobu,3.5 star rating,(949) 429-4440,3450 Via Oporto
The Cannery Restaurant,3.5 star rating,(949) 566-0060,3010 Lafayette Rd
Mamas Comfort Food & Cocktails NB,4.5 star rating,(949) 447-5444,2601 West Coast Hwy
Summer's Fried Chicken,4.5 star rating,(949) 877-0238,3305 Newport Blvd
Furiwa Togo,4.5 star rating,(949) 396-1136,19530 Jamboree Rd
Casablanca The Restaurant,4.5 star rating,(949) 423-7990,1976 Newport Blvd
CUCINA enoteca Newport Beach,4 star rating,(949) 706-1416,951 Newport Center Dr
Lido Bottle Works,4.5 star rating,(949) 529-2784,3408 Via Oporto
Louie's by the Bay,4 star rating,(949) 720-1800,2801 West Coast Hwy
Woody's Wharf,3.5 star rating,(949) 675-0474,2318 Newport Blvd
Nick The Greek,4.5 star rating,(949) 287-6700,1320 Bison Ave
The Winery Restaurant & Wine Bar,4.5 star rating,(949) 999-6622,3131 W Coast Hwy
Bayside Restaurant,3.5 star rating,(949) 721-1222,900 Bayside Dr
Modo Mio rustic italian kitchen,4 star rating,(949) 497-9770,7946 E Coast Hwy
The Crack Shack - Costa Mesa,4 star rating,(949) 383-5040,196 E 17th St
Circle Hook,4 star rating,(949) 200-9476,3432 Via Oporto
Andrea,4 star rating,(844) 445-2183,22701 S Pelican Hill Rd
"Olea, Cellar. Craft. Cook.",4.5 star rating,(949) 287-6807,2001 Westcliff Dr
Mendocino Farms,4.5 star rating,(949) 548-2500,450 E 17th St
Chihuahua Cerveza,4.5 star rating,(949) 771-8226,3107 Newport Blvd
Waterline,4 star rating,(949) 630-4390,"Located in <a href=""/biz/balboa-bay-resort-newport-beach"">Balboa Bay Resort</a>"
North Italia,4.5 star rating,(949) 629-7060,2957 Michelson Dr
Tupelo Junction Cafe,4.5 star rating,(949) 877-0280,508 29th Street Newport Bch
Kabob Republic,4.5 star rating,(949) 764-1778,1781-C Newport Blvd
Stag Bar + Kitchen,4.5 star rating,(949) 673-4470,121 Mc Fadden Pl
Pescadou Bistro,4.5 star rating,(949) 675-6990,3325 Newport Blvd
Crocker's The Well Dressed Frank,4.5 star rating,(949) 572-9293,211 Marine Ave
Flower Child,4 star rating,(949) 200-8141,1302 Bison Ave
Breakfast Republic,4 star rating,(949) 691-3055,410 E 17th St
Fly 'N' Fish Oyster Bar & Grill,4 star rating,(949) 673-8400,2304 W Oceanfront
Bandera,4 star rating,(949) 673-3524,3201 E Coast Hwy
Millions of Chicken,4.5 star rating,(714) 486-2075,2629 Harbor Blvd
The Alley,4 star rating,(949) 646-9126,4501 W Coast Hwy
