Name,Rating
Mother's Market and Kitchen,4 star rating
The Lighthouse Cafe,4 star rating
Bosscat Kitchen and Libations,4.5 star rating
Shorebird,4.5 star rating
Rye Goods,4.5 star rating
SOL Mexican Cocina,4 star rating
Sol Grill,4.5 star rating
Tavern House Kitchen + Bar,4.5 star rating
Hook & Anchor,4.5 star rating
R+D Kitchen,4 star rating
Amor de Provincia,5 star rating
Mama D's Italian Kitchen,4.5 star rating
Bluewater Grill,4 star rating
Playa Mesa,4.5 star rating
The Crack Shack - Costa Mesa,4 star rating
Farmhouse at Roger's Gardens,4 star rating
Fork and Knife,5 star rating
Malibu Farm Lido,4 star rating
The Dock,4.5 star rating
Great Maple - Newport Beach,4.5 star rating
Gracias Madre,4 star rating
Gulfstream,4 star rating
Bandera,4 star rating
Habana,4 star rating
Toast Kitchen & Bakery,4.5 star rating
The Stand,4.5 star rating
Nguyen's Kitchen,4 star rating
A Restaurant,4 star rating
Nobu Newport Beach,3.5 star rating
Eat Chow,4 star rating
Breakfast Republic,4 star rating
Hanuman Thai Eatery,5 star rating
Bamboo Bistro,4 star rating
CUCINA enoteca Newport Beach,4 star rating
Rockin' Baja Lobster Coastal Cantina,4 star rating
Furiwa Togo,4.5 star rating
ARC Butcher & Baker,4 star rating
TidePoole's,4.5 star rating
The Beachcomber,4 star rating
"Olea, Cellar. Craft. Cook.",4.5 star rating
Balboa Lily's,4.5 star rating
Wilma's Patio Restaurant,4 star rating
Oak & Coal,4.5 star rating
Helmsman Ale House,4.5 star rating
True Food Kitchen,4 star rating
Trenta Pizza and Cucina,4.5 star rating
Ho Sum Bistro,4 star rating
Louie's by the Bay,4 star rating
Bear Flag Fish,4 star rating
Cafe Sevilla,4 star rating
Ai Pono Cafe,4.5 star rating
Eddie V's Prime Seafood,4.5 star rating
Tres Muchachos Seafood Grill,4.5 star rating
A&O Kitchen+Bar,4 star rating
Red O,4 star rating
SOCIAL,4 star rating
Summer's Fried Chicken,4.5 star rating
O'hana Sushi & Ramen,4.5 star rating
FishBonz Seafood Grill,4.5 star rating
Flower Child,4.5 star rating
Stag Bar + Kitchen,4.5 star rating
Snipe Island Crafthouse,4.5 star rating
Zinqué,4 star rating
Casablanca The Restaurant,4.5 star rating
Fable & Spirit,4.5 star rating
Rose Bakery Cafe,4 star rating
Bayside Restaurant,3.5 star rating
Bello by Sandro Nardone,4.5 star rating
Stacks Pancake House,4 star rating
Moulin,4 star rating
CAVA,4 star rating
The Cliff Restaurant,3.5 star rating
Tabu Shabu - Costa Mesa,4.5 star rating
Driftwood Kitchen,4 star rating
Northeast Sisters,4.5 star rating
Taco Mesa,4 star rating
MaDee Thai Kitchen,4 star rating
Tiffanys Blue Box Cafe,5 star rating
Tackle Box,4.5 star rating
Baba's Chicken,4.5 star rating
The Deck on Laguna Beach,4 star rating
Mendocino Farms,4.5 star rating
Chihuahua Cerveza,4.5 star rating
Cafe Sakana,4.5 star rating
Wild Taco,4 star rating
San Shi Go,4.5 star rating
Boathouse Collective,4 star rating
Hopdoddy Burger Bar,4 star rating
Crocker's The Well Dressed Frank,4.5 star rating
Nick The Greek,4.5 star rating
North Italia,4.5 star rating
Nexx Burger,4 star rating
My Greek Kitchen,4.5 star rating
Lotus Bistro,4.5 star rating
Sushi Roku,4 star rating
Hole In the Wall Burger,5 star rating
Our Bar,4 star rating
GuacAmigos,4 star rating
Pop Pie - Costa Mesa,4.5 star rating
Circle Hook,4 star rating
Millions of Chicken,4.5 star rating
Sapori Ristorante,4 star rating
Outpost Kitchen,4 star rating
Kabob Republic,4.5 star rating
Cluck Kitchen,4.5 star rating
Fly 'N'  Fish Oyster Bar & Grill,4 star rating
CdM Restaurant,4.5 star rating
Splashes Restaurant,4 star rating
Hermosa Taqueria,4.5 star rating
Summer House,4 star rating
Javier's - Crystal Cove,3.5 star rating
The Winery Restaurant & Wine Bar,4.5 star rating
Tommy Bahama Restaurant | Bar | Store - Newport Beach,4 star rating
Wild Goose Tavern,4.5 star rating
Basilic Restaurant,4.5 star rating
Lido Bottle Works,4.5 star rating
SideDoor,4 star rating
Filomena's Italian Kitchen,4 star rating
Yichuan Restaurant,4 star rating
Trattoria Mediterranean Cuisine,4.5 star rating
Saigon Beach Restaurant,4.5 star rating
Haute Cakes Caffe,4 star rating
sushi ii,4.5 star rating
The Cannery Restaurant,3.5 star rating
Westend,4 star rating
The CAMP,4 star rating
Tupelo Junction Cafe,4.5 star rating
Royal Hen,4 star rating
Buddha's Favorite,4 star rating
RIBBRO BBQ,4.5 star rating
501 Park Avenue Bistro,4.5 star rating
Mastro's Ocean Club,4 star rating
Greenleaf Chopshop,4 star rating
Pom & Olive,4.5 star rating
Wild Strawberry Cafe,4 star rating
Ellie's Table at The Boardwalk,4.5 star rating
Pescadou Bistro,4.5 star rating
Fig & Olive - Newport Beach,3.5 star rating
Pirozzi Corona Del Mar,4 star rating
Pasta Corner,4 star rating
Nick's Laguna Beach,4.5 star rating
Rooster Café,4 star rating
Back Bay Bistro,3.5 star rating
Canaletto Ristorante Veneto,4 star rating
Offshore 9 Rooftop Lounge,4 star rating
Plums Café and Catering,4 star rating
Dave's Hot Chicken,4 star rating
S'urge Sandwiches,5 star rating
Sessions West Coast Deli,4.5 star rating
Mint Leaf Thai Cuisine,4 star rating
Fleming's Prime Steakhouse & Wine Bar,4 star rating
Hashigo Korean Kitchen,4 star rating
Harborside Restaurant and Grand Ballroom - Temp. CLOSED,4 star rating
SOTA,4 star rating
Din Tai Fung,4 star rating
2145,4 star rating
Panini Kabob Grill - Corona Del Mar,4.5 star rating
